lat,lon,polygon,GEOID
35.392063,-80.622777,50055,37025042000
35.042419,-78.956747,47994,37051001902
35.937981,-79.996012,48833,37081014300
34.634487,-78.997134,48005,37155961200
32.823912,-117.12114,11248,06073008511
34.702398,-82.801828,59335,45077011102
37.578536,-77.48754,68161,51087200502
39.467032,-119.779038,40068,32031002204
30.256917,-97.749169,65215,48453001305
32.779791,-96.7990454,65597,48113003101
37.1581,-80.4203,68530,51121021100
37.50418,-77.61949,68274,51041100931
47.616104,-122.19696,70353,53033023804
47.61434,-122.194037,70353,53033023804
43.121878,-89.309902,71237,55025002603
43.094649,-89.50964,72062,55025011000
32.82408524,-117.1471252,11248,06073008511
42.790376,-86.101511,33696,26139024900
34.848783,-82.401211,58646,45045000200
34.756982,-82.383799,58699,45045003401
38.951695,-77.409238,69023,51059481103
34.840912,-82.400037,58601,45045000400
34.926241,-82.433164,59059,45045003801
41.997588,-72.583384,13376,09003480800
38.899392,-77.024385,13923,11001005800
26.9322,-80.1027,18063,12099000204
42.6336,-83.220931,33479,26125140800
42.395383,-83.074263,34351,26163511400
42.334321,-83.056903,32893,26163520700
42.33375168,-83.05662,32893,26163520700
42.344978,-83.128128,34447,26163985000
42.33476,-83.0608,32893,26163520700
42.683212,-83.1366,33515,26125191100
42.678841,-83.132684,32641,26125191200
42.682914,-83.193236,33438,26125192400
42.166498,-83.780162,33021,26161423600
41.36684,-81.7638,50485,39035177604
44.520371,-85.991356,34161,26019000500
39.001676,-76.525253,30428,24003702701
40.397876,-75.588988,55267,42011013302
37.578775,-77.489409,69154,51760050200
42.455,-83.131111,33642,26125173400
35.772881,-78.638502,49555,37183050900
35.772619,-78.641492,49555,37183050900
35.77937,-78.638203,50022,37183050100
42.187149,-122.689496,55016,41029001900
45.317487,-122.759692,54722,41005024400
45.475743,-122.776517,54568,41067030401
45.4303954678298,-122.57220266536,54821,41005022107
33.90999,-84.2914,18370,13089021301
41.9785058231108,-87.903280000061,22312,17031980000
41.99774,-87.864217,21467,17031806600
42.677227,-70.839264,31859,25009223200
36.009999,-78.921405,48075,37063000402
33.931732,-81.059303,59544,45063020604
36.379802,-94.177871,3052,05007020501
28.424816,-81.445089,16285,12095017001
28.470548,-81.396861,14067,12095016902
28.429047,-81.44937,16285,12095017001
28.485994,-81.457176,18229,12095014812
41.607327,-93.735902,25656,19153011205
41.00709,-91.981752,25958,19101090300
41.645933,-93.769432,26114,19153010406
38.623533,-77.086898,30157,24017850102
38.369101,-76.960389,30356,24017851200
42.78875732,-86.10360718,33696,26139024900
42.292146,-83.178699,32666,26163578500
38.709309,-90.683128,38514,29183311103
40.453507,-80.085371,56780,42003563000
42.219548,-122.740005,54808,41029001700
25.7703,-80.196621,14749,12086003601
26.769595,-80.102645,14612,12099001002
